model_key,axis,exposure_log_rate_effect_mean,exposure_log_rate_hdi_low,exposure_log_rate_hdi_high,RSA_mean,RSA_hdi_low,RSA_hdi_high,Q_mean,Q_hdi_low,Q_hdi_high,MI_mean,JSD_mean,NMA_mean_father_mother_only,diversity_H_normalized_mean,diversity_effective_vocab_mean,lexicon_coverage_mean,RSA_country_icc
ollama-gemma3-27b,role,-9.97400959598621e-05,-0.10529298022998779,0.09497738151906952,0.20386412953157707,0.1270989590494413,0.27774091632403525,0.10154289297142943,0.06386825378756687,0.138840292225215,0.025460908036410077,0.02609137501640627,0.2579684581623442,0.9567620732821815,11.72943259409831,0.02123856057080806,0.03687688076822933
ollama-llama32-3b,role,0.2334913078447172,0.13126114974465483,0.3312433697323133,0.20040396912033095,0.12825611794626038,0.2811099299912674,0.09983152137123738,0.062156883161600084,0.13859201235433533,0.0247073073230485,0.025515151684346024,0.164247230201594,0.9661576123605299,15.237008406047883,0.027264619202729906,-0.020216496987180123
ollama-llama31-8b,role,0.24947719146968525,0.1440280673682619,0.34446558770116814,0.19925482629785682,0.12199444233509651,0.27447314250240584,0.0992608113228516,0.061012014975424474,0.13650779794945525,0.02029510506689403,0.020834633590301303,-0.1847777867714333,0.967996345844539,14.744806402583329,0.026235070575461403,0.032249918583163395
ollama-qwen25-7b,role,0.11681592308764778,0.01648160630988395,0.2159330321339414,0.16930407669086375,0.09377527342830722,0.24680304314426957,0.08441801856621833,0.04686830851285051,0.12278178398052274,0.028662376350099272,0.029579636186239405,-0.03558744025341107,0.972309089419456,14.010005218192617,0.02457538389948808,0.05152361665238194
ollama-gemma3-12b,role,-0.03890435919691988,-0.1410510456073972,0.05626621882464893,0.14615553087116273,0.0745229620342869,0.22632570586461262,0.07291974034747245,0.035646946093850294,0.11116723485041936,0.023254818024242778,0.023928979117176785,0.17704228388453938,0.9550366428850248,12.39615559709217,0.022605475414921604,0.025832218403390374
ollama-mistral-nemo,role,-0.1810671442017806,-0.28498834928781197,-0.08692828170019987,0.13913529062705374,0.06539632242680361,0.21402893159505654,0.0694295877978033,0.03205374342287012,0.10628905418468207,0.03801292858652878,0.03961032560129931,-0.2333177861786892,0.9699070266309799,12.254152794074702,0.021568171242438282,-0.006833166816715991
anthropic-haiku45,role,-0.07325197174020895,-0.1709953372043097,0.030826337828669725,0.1284615503308827,0.05028190099385396,0.2032507460285215,0.06411829677193875,0.025174476954213997,0.10141389217325704,0.04220237750362108,0.04369041235395116,-0.3836259684041723,0.9633342982342677,12.105198711414156,0.021624398945245784,-0.0031791551912057118
ollama-llama32-1b,role,-0.09337128688288776,-0.20032908742139097,0.007565341716945734,0.09664091583729573,-0.029526426220010366,0.23932052267600587,0.04822927471137383,-0.020038684536149595,0.11502237516727412,0.03634751164086123,0.04497762063543528,0.15794621805079936,0.9924631265819281,4.157030277442545,0.007090306638211822,0.005206077237490072
openai-gpt41,role,0.04452867953163307,-0.06205545829949442,0.13775480456184286,0.09045695577404425,0.015800494217369593,0.1722657033526872,0.04518004571874896,0.00561405024567869,0.08418397410893552,0.022076965118452065,0.022657768921999343,-0.14835566898996638,0.9652703048997314,13.075821432354873,0.023328680006204375,-0.0013214018006670709
openai-gpt4o,role,-0.0856071105884657,-0.19010537952624063,0.009960028829211768,0.08317174063787287,0.003361408851791259,0.15983164606084596,0.04154523676002757,0.0018018102810017451,0.07992486812627561,0.02730674481591486,0.02799490411154978,-0.4812666609536996,0.9732317741801366,13.941971908590167,0.024360167519776585,0.007505213103202731
