id,model_key,model_family,model_params,protagonist_gender,country,region,person,word_count,pca_x,pca_y,tsne_x,tsne_y,tsne3_x,tsne3_y,tsne3_z
ollama-gemma2-2b_Father_Colombia_female,ollama-gemma2-2b,gemma,2B,female,Colombia,Latin America,Father,198,-1.8715763,-1.0319972,14.847245,24.048962,2.964043,-21.846092,-16.532793
ollama-gemma3-12b_Father_Colombia_female,ollama-gemma3-12b,gemma,12B,female,Colombia,Latin America,Father,198,-2.5733154,-1.2242894,23.209305,11.56298,6.165058,4.259099,-19.48664
ollama-gemma3-27b_Father_Colombia_female,ollama-gemma3-27b,gemma,27B,female,Colombia,Latin America,Father,196,-2.838374,-0.44175088,51.14902,0.18048772,-15.09321,-7.9635086,-27.887205
ollama-gptoss-20b_Father_Colombia_female,ollama-gptoss-20b,gpt-oss,20B,female,Colombia,Latin America,Father,165,-0.882462,-1.3097205,-23.993706,-9.830663,28.863426,-3.6207087,-6.8189783
ollama-llama31-8b_Father_Colombia_male,ollama-llama31-8b,llama,8B,male,Colombia,Latin America,Father,183,0.1814519,-1.2850354,3.805391,29.58765,5.662796,-7.1555457,-17.167297
ollama-llama32-3b_Father_Colombia_male,ollama-llama32-3b,llama,3B,male,Colombia,Latin America,Father,181,2.20347,1.3306887,-31.335348,21.26311,12.018793,23.363928,17.54734
ollama-llama3-70b_Father_Colombia_male,ollama-llama3-70b,llama,70B,male,Colombia,Latin America,Father,181,0.79421574,-1.4684763,-16.124306,21.005476,9.154794,-2.5990677,-19.023941
ollama-mistral-7b_Father_Colombia_male,ollama-mistral-7b,mistral,7B,male,Colombia,Latin America,Father,199,1.8344383,0.6678889,-43.34959,-16.797976,23.804586,-21.540762,17.723757
ollama-qwen25-7b_Father_Colombia_male,ollama-qwen25-7b,qwen,7B,male,Colombia,Latin America,Father,202,0.1438259,0.48586524,-3.44321,-39.798637,27.373083,-14.019952,18.498417
ollama-qwen25-3b_Father_Colombia_male,ollama-qwen25-3b,qwen,3B,male,Colombia,Latin America,Father,110,-0.84851754,0.061148584,8.475326,-29.560246,14.4236965,-20.795021,14.141294
ollama-gemma2-2b_Father_Colombia_male,ollama-gemma2-2b,gemma,2B,male,Colombia,Latin America,Father,183,0.67045045,1.5112565,15.5552,-33.245495,16.205645,-28.376184,3.7474408
ollama-gemma3-12b_Father_Colombia_male,ollama-gemma3-12b,gemma,12B,male,Colombia,Latin America,Father,204,-3.3438482,-0.18795863,53.414715,-1.9046777,-14.999651,-2.9587054,-27.895536
ollama-gemma3-27b_Father_Colombia_male,ollama-gemma3-27b,gemma,27B,male,Colombia,Latin America,Father,177,-2.2320979,0.30869842,51.83026,8.883824,-3.8883138,-0.8718053,-29.93652
ollama-gptoss-20b_Father_Colombia_male,ollama-gptoss-20b,gpt-oss,20B,male,Colombia,Latin America,Father,136,-0.6494244,0.4529304,-22.63025,-11.818535,31.419851,-5.0231595,-12.247081
ollama-llama31-8b_Father_UnitedArabEmirates_female,ollama-llama31-8b,llama,8B,female,United Arab Emirates,MENA,Father,163,-0.009851131,-1.2948871,6.249071,3.434688,-21.731483,2.1294858,10.501025
ollama-llama32-3b_Father_UnitedArabEmirates_female,ollama-llama32-3b,llama,3B,female,United Arab Emirates,MENA,Father,170,0.9364299,-0.87724584,1.3896425,5.472167,-18.022585,0.2159704,2.4313514
ollama-llama3-70b_Father_UnitedArabEmirates_female,ollama-llama3-70b,llama,70B,female,United Arab Emirates,MENA,Father,204,-0.1796781,-2.0585997,4.7057066,1.9927653,-26.236242,1.7449626,2.945156
ollama-mistral-nemo_Father_UnitedArabEmirates_female,ollama-mistral-nemo,mistral,12B,female,United Arab Emirates,MENA,Father,186,0.046246193,-0.08984828,2.3264916,-6.590881,-24.501764,-5.3005667,15.511589
ollama-mistral-7b_Father_UnitedArabEmirates_female,ollama-mistral-7b,mistral,7B,female,United Arab Emirates,MENA,Father,171,1.5649437,-0.072475284,31.966784,-14.601837,-34.04544,0.49638057,11.039158
ollama-qwen25-7b_Father_UnitedArabEmirates_female,ollama-qwen25-7b,qwen,7B,female,United Arab Emirates,MENA,Father,175,1.21743,-1.6947696,4.4662733,-2.8006139,-22.946358,-8.184998,11.837945
ollama-qwen25-3b_Father_UnitedArabEmirates_female,ollama-qwen25-3b,qwen,3B,female,United Arab Emirates,MENA,Father,116,-0.59964293,0.96672785,6.959062,-25.55662,5.594869,-24.33238,11.655508
ollama-gemma2-2b_Father_UnitedArabEmirates_female,ollama-gemma2-2b,gemma,2B,female,United Arab Emirates,MENA,Father,183,-1.4192592,0.2879046,24.587936,-15.0506,-25.74431,-12.49597,3.6130166
ollama-gemma3-12b_Father_UnitedArabEmirates_female,ollama-gemma3-12b,gemma,12B,female,United Arab Emirates,MENA,Father,196,-2.452817,1.4381747,51.657787,-11.859667,-13.632792,-4.5766673,-13.884112
ollama-gemma3-27b_Father_UnitedArabEmirates_female,ollama-gemma3-27b,gemma,27B,female,United Arab Emirates,MENA,Father,186,-1.1127568,0.15610495,45.078117,5.65676,-28.722069,-3.0563488,-7.583393
ollama-llama31-8b_Father_UnitedArabEmirates_male,ollama-llama31-8b,llama,8B,male,United Arab Emirates,MENA,Father,156,1.3599315,-0.043991983,-40.273777,1.5177132,-9.868355,4.468692,23.104359
ollama-llama32-3b_Father_UnitedArabEmirates_male,ollama-llama32-3b,llama,3B,male,United Arab Emirates,MENA,Father,169,0.5863585,-0.65183693,-39.52405,-0.1796814,-17.36524,4.3007803,24.096146
ollama-llama3-70b_Father_UnitedArabEmirates_male,ollama-llama3-70b,llama,70B,male,United Arab Emirates,MENA,Father,199,1.9802926,-0.0925484,-42.227516,4.347679,-13.474349,7.6309953,30.231623
ollama-mistral-nemo_Father_UnitedArabEmirates_male,ollama-mistral-nemo,mistral,12B,male,United Arab Emirates,MENA,Father,195,0.064693324,0.69789696,-42.17234,-9.715478,-16.336147,-11.943536,25.857521
ollama-mistral-7b_Father_UnitedArabEmirates_male,ollama-mistral-7b,mistral,7B,male,United Arab Emirates,MENA,Father,201,2.6174052,-0.21818739,-40.46802,4.7406693,-10.314024,6.2867312,29.317345
ollama-qwen25-7b_Father_UnitedArabEmirates_male,ollama-qwen25-7b,qwen,7B,male,United Arab Emirates,MENA,Father,177,1.4036613,1.0518656,-17.67733,-29.005627,-11.262491,-4.5350447,26.856962
