model_key,country,axis,intercept_1,N,C,P,NC,NP,CP,NCP
anthropic-sonnet46,Australia,trait,-0.5558206444764315,0.13732653608351372,0.1373265360835137,0.1373265360835137,0.1373265360835137,0.1373265360835137,0.1373265360835137,0.1373265360835137
anthropic-sonnet46,Brazil,domain,-0.05490399632237271,0.03876936603797994,0.36359011207054515,-0.6382431842375726,-0.23588370612904747,-0.03876936603797994,-0.3635901120705452,0.23588370612904747
anthropic-sonnet46,Brazil,role,1.8968167447427833,-0.13732653608351358,-0.2842732023090435,-0.4119796082505411,-0.009620130142016126,-0.1373265360835137,0.00962013014201607,-0.00962013014201607
anthropic-sonnet46,Brazil,trait,-0.5558206444764316,0.1373265360835137,-0.1373265360835137,-0.1373265360835137,-0.1373265360835137,-0.1373265360835137,0.1373265360835137,0.1373265360835137
anthropic-sonnet46,Canada,domain,0.25218797528029024,-0.056498140467882166,0.056498140467882166,-0.9453351558402356,-0.1406161996231854,0.05649814046788214,-0.05649814046788214,0.1406161996231854
anthropic-sonnet46,Canada,role,1.8636308924175407,-0.16304956330041842,-0.11438905300491958,0.24823943545862653,0.11022228988361665,-0.026413636708400856,0.24823943545862653,-0.026413636708400856
anthropic-sonnet46,Canada,trait,-0.4184941083929179,-0.2746530721670274,0.0,-0.2746530721670274,0.0,0.2746530721670274,-1.3877787807814457e-17,1.3877787807814457e-17
anthropic-sonnet46,China,domain,-0.28116757230940415,-0.41197960825054114,-0.13732653608351372,-0.13732653608351372,0.13732653608351372,0.13732653608351372,0.41197960825054114,-0.41197960825054114
anthropic-sonnet46,China,role,1.9351893978155847,0.14032668009595667,0.3082533924264756,0.13432639207107083,-0.09256287090527932,-0.13235787796334436,-0.18209020126174807,0.02898125121755485
anthropic-sonnet46,China,trait,-0.28116757230940415,0.1373265360835137,-0.1373265360835137,-0.41197960825054114,0.1373265360835137,-0.1373265360835137,0.1373265360835137,-0.1373265360835137
anthropic-sonnet46,Colombia,domain,0.5235513839076461,-0.13732653608351372,0.1373265360835137,-0.392739347966509,0.13732653608351367,-0.1373265360835137,0.13732653608351375,0.13732653608351372
anthropic-sonnet46,Colombia,role,1.760514804559792,-0.2543882159824729,-0.14797126212605205,0.21079986919627858,-0.14797126212605205,0.21079986919627858,-0.06385320297074881,-0.06385320297074881
anthropic-sonnet46,Colombia,trait,-0.28116757230940415,-0.13732653608351375,-0.1373265360835137,-0.41197960825054114,-0.1373265360835137,0.13732653608351372,0.1373265360835137,0.1373265360835137
anthropic-sonnet46,Egypt,domain,-0.04754893381950606,0.15912070947661092,-0.24323876863191418,-0.6455982467404393,0.24323876863191418,-0.15912070947661094,0.24323876863191418,-0.24323876863191418
anthropic-sonnet46,Egypt,role,1.8668244897236166,-0.06747734683232148,-0.007918897572871564,0.293787570754214,-0.07041855722721813,-0.07823169310324418,0.48059117121176925,0.1085719073543111
anthropic-sonnet46,Egypt,trait,-0.28116757230940415,-0.13732653608351375,-0.1373265360835137,-0.41197960825054114,-0.1373265360835137,0.13732653608351372,0.1373265360835137,0.1373265360835137
anthropic-sonnet46,Ethiopia,domain,0.08977760226400767,-0.02179417339309722,-0.10591223254840047,-0.7829247828239531,-0.10591223254840045,0.02179417339309718,0.1059122325484005,0.10591223254840047
anthropic-sonnet46,Ethiopia,role,2.13712264340022,-0.06844177795371881,0.13035042078434528,-0.23553356584408353,0.1788402360028864,0.1817557209398471,-0.08858689961855376,-0.22060375716867792
anthropic-sonnet46,Ethiopia,trait,-0.21731436933865533,-0.20117973905426256,-0.07347333311276485,-0.47583281122128995,-0.2011797390542625,0.20117973905426256,0.07347333311276484,0.20117973905426254
anthropic-sonnet46,France,domain,-0.4184941083929179,-0.2746530721670274,0.0,-0.2746530721670274,0.0,0.2746530721670274,-1.3877787807814457e-17,1.3877787807814457e-17
anthropic-sonnet46,France,role,1.7501550757359339,0.07851433878613634,-0.22546100501166605,0.030750529595459097,-0.01941714427007868,0.1186000013049312,0.028346664920598563,0.48980333754518124
anthropic-sonnet46,France,trait,-0.4184941083929179,-2.7755575615628914e-17,-0.2746530721670274,-0.2746530721670274,2.7755575615628914e-17,1.3877787807814457e-17,0.2746530721670274,-1.3877787807814457e-17
anthropic-sonnet46,Germany,domain,-0.04754893381950602,0.15912070947661094,0.6455982467404393,-0.24323876863191418,0.15912070947661094,0.24323876863191418,-0.24323876863191418,0.24323876863191418
anthropic-sonnet46,Germany,role,1.6455755533861716,0.18446310234962837,0.34794471920129444,-0.29329262016408975,-0.38970824036708596,0.25152909899829823,0.4150107158499643,-0.4567742370157558
anthropic-sonnet46,Germany,trait,-0.5558206444764316,0.1373265360835137,-0.1373265360835137,-0.1373265360835137,-0.1373265360835137,-0.1373265360835137,0.1373265360835137,0.1373265360835137
anthropic-sonnet46,Ghana,domain,0.12448156933879258,0.21815493169914524,-0.3311512126349096,-0.8176287498987379,0.26832260556468307,-0.21815493169914524,0.3311512126349096,-0.26832260556468307
anthropic-sonnet46,Ghana,role,2.062504094334717,-0.17979190490561686,-0.17979190490561664,0.010496072512883925,-0.014980497684550731,0.1127259082569469,0.1127259082569469,-0.052085498964119126
anthropic-sonnet46,Ghana,trait,-0.5558206444764315,-0.1373265360835137,0.1373265360835137,0.1373265360835137,-0.1373265360835137,-0.1373265360835137,0.1373265360835137,-0.1373265360835137
anthropic-sonnet46,Greece,domain,0.6294636164560465,-0.24323876863191418,-0.15912070947661094,0.031414303535113236,-0.3709451745734118,0.24323876863191418,0.15912070947661092,0.11553236269041647
anthropic-sonnet46,Greece,role,1.8003316215516096,-0.2942050329742913,0.019551960807263846,0.1394452308727354,0.10815444513423383,0.1564972933793688,-0.2629142472357896,-0.4140983030397628
anthropic-sonnet46,Greece,trait,-0.21731436933865533,-0.20117973905426256,-0.07347333311276485,-0.47583281122128995,-0.2011797390542625,0.20117973905426256,0.07347333311276484,0.20117973905426254
anthropic-sonnet46,India,domain,-0.11140213679025486,0.1793855656611653,-0.0952675065058621,-0.5817450437696904,0.307091971602663,-0.1793855656611653,0.09526750650586209,-0.30709197160266305
anthropic-sonnet46,India,role,1.781866098287114,-0.03604896996403323,0.27839910926105915,0.4584613868454933,-0.06076042862319142,0.20282889129282577,0.039521248004200094,0.009881314323061163
anthropic-sonnet46,India,trait,-0.28116757230940415,-0.13732653608351372,0.13732653608351372,-0.1373265360835137,-0.41197960825054114,-0.1373265360835137,0.1373265360835137,0.1373265360835137
anthropic-sonnet46,Indonesia,domain,0.2053099649544242,-0.1373265360835137,0.1373265360835137,-0.3491510011803146,-0.3491510011803146,0.13732653608351372,0.41197960825054125,0.3491510011803146
anthropic-sonnet46,Indonesia,role,1.7719131123873495,-0.0944917710823388,0.18674062816403203,0.4613937003310594,0.025083836932769,0.2997369090997963,0.18674062816403203,0.025083836932768944
anthropic-sonnet46,Indonesia,trait,-0.5558206444764316,-0.13732653608351364,-0.1373265360835137,0.1373265360835137,0.1373265360835137,-0.1373265360835137,-0.1373265360835137,0.1373265360835137
anthropic-sonnet46,Iran,domain,-0.29078770245142016,2.7755575615628914e-17,2.7755575615628914e-17,-0.4023594781085251,0.4023594781085251,-1.3877787807814457e-17,-1.3877787807814457e-17,-0.4023594781085251
