model_key,country,narrator_role,recipient_gender_condition,axis,n_unique_words,n_matched_tokens,H_raw,effective_vocab_size,H_normalized,simpson_concentration,gini_simpson_diversity,lexicon_coverage
anthropic-haiku45,Argentina,Mother,female,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Argentina,Mother,female,role,14.0,20.0,2.4843668399738017,11.993524030282877,0.9413841874878828,0.1,0.9,0.02280130293159609
anthropic-haiku45,Argentina,Mother,male,direct_marker,2.0,13.0,0.6901856760188042,1.9940857527753038,0.9957274520849256,0.5029585798816568,0.4970414201183432,0.05714285714285714
anthropic-haiku45,Argentina,Mother,male,role,17.0,22.0,2.728407540034291,15.308489442407842,0.9630081496538915,0.0743801652892562,0.9256198347107438,0.02768729641693811
anthropic-haiku45,Argentina,Mother,male,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Argentina,Nanny,female,direct_marker,3.0,10.0,0.9433483923290391,2.568567607415555,0.8586727110732548,0.42000000000000004,0.58,0.08571428571428572
anthropic-haiku45,Argentina,Nanny,female,domain,2.0,3.0,0.6365141682948128,1.8898815748423097,0.9182958340544894,0.5555555555555556,0.4444444444444444,0.06060606060606061
anthropic-haiku45,Argentina,Nanny,female,role,12.0,15.0,2.430791328878232,11.367874248827984,0.9782223928152853,0.09333333333333334,0.9066666666666666,0.019543973941368076
anthropic-haiku45,Argentina,Nanny,female,trait,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.13333333333333333
anthropic-haiku45,Argentina,Nanny,male,direct_marker,3.0,12.0,1.0114042647073516,2.749459273997205,0.9206198357143047,0.3888888888888889,0.6111111111111112,0.08571428571428572
anthropic-haiku45,Argentina,Nanny,male,domain,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.06060606060606061
anthropic-haiku45,Argentina,Nanny,male,role,15.0,19.0,2.6250481587325396,13.805239012871624,0.9693498878507173,0.08033240997229917,0.9196675900277008,0.024429967426710098
anthropic-haiku45,Argentina,Older Brother,female,direct_marker,3.0,10.0,1.0296530140645737,2.8000940728538315,0.9372305632161295,0.38,0.62,0.08571428571428572
anthropic-haiku45,Argentina,Older Brother,female,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Argentina,Older Brother,female,role,8.0,11.0,2.0198149924929463,7.536930415960684,0.9713256910609176,0.14049586776859505,0.859504132231405,0.013029315960912053
anthropic-haiku45,Argentina,Older Brother,female,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Argentina,Older Brother,male,direct_marker,3.0,12.0,0.9596147939120492,2.6106906257834304,0.8734790278701755,0.43055555555555564,0.5694444444444444,0.08571428571428572
anthropic-haiku45,Argentina,Older Brother,male,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Argentina,Older Brother,male,role,13.0,14.0,2.54003630382098,12.680131299694686,0.9902871167541443,0.0816326530612245,0.9183673469387755,0.021172638436482084
anthropic-haiku45,Argentina,Older Sister,female,direct_marker,3.0,16.0,1.0717300941124526,2.920427746597138,0.9755307720176264,0.3515625,0.6484375,0.08571428571428572
anthropic-haiku45,Argentina,Older Sister,female,domain,2.0,3.0,0.6365141682948128,1.8898815748423097,0.9182958340544894,0.5555555555555556,0.4444444444444444,0.06060606060606061
anthropic-haiku45,Argentina,Older Sister,female,role,12.0,16.0,2.3933121229745242,10.94970070458694,0.9631396508109106,0.1015625,0.8984375,0.019543973941368076
anthropic-haiku45,Argentina,Older Sister,male,direct_marker,4.0,7.0,1.277034259466139,3.5859888270569535,0.9211854965885543,0.30612244897959184,0.6938775510204082,0.11428571428571428
anthropic-haiku45,Argentina,Older Sister,male,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Argentina,Older Sister,male,role,18.0,24.0,2.8096782340777837,16.604574572880775,0.9720819567247931,0.06597222222222221,0.9340277777777778,0.029315960912052116
anthropic-haiku45,Argentina,Teacher,female,direct_marker,3.0,9.0,0.9649629230074277,2.6246903390462624,0.8783471047618534,0.4074074074074074,0.5925925925925926,0.08571428571428572
anthropic-haiku45,Argentina,Teacher,female,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Argentina,Teacher,female,role,12.0,17.0,2.3439329813080194,10.42214616770941,0.9432680223653439,0.11418685121107267,0.8858131487889274,0.019543973941368076
anthropic-haiku45,Argentina,Teacher,male,direct_marker,2.0,12.0,0.6791932659915256,1.9722859800819112,0.9798687566511527,0.513888888888889,0.48611111111111105,0.05714285714285714
anthropic-haiku45,Argentina,Teacher,male,role,12.0,15.0,2.430791328878232,11.367874248827984,0.9782223928152853,0.09333333333333334,0.9066666666666666,0.019543973941368076
anthropic-haiku45,Argentina,Uncle,female,direct_marker,4.0,10.0,1.2798542258336674,3.5961154666243216,0.9232196723355077,0.30000000000000004,0.7,0.11428571428571428
anthropic-haiku45,Argentina,Uncle,female,domain,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.06060606060606061
anthropic-haiku45,Argentina,Uncle,female,role,21.0,24.0,3.0047670352079603,20.18151396608917,0.9869419906311513,0.052083333333333336,0.9479166666666666,0.03420195439739414
anthropic-haiku45,Argentina,Uncle,female,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Argentina,Uncle,male,direct_marker,5.0,12.0,1.4241299173467734,4.154241736156385,0.8848616689990428,0.27777777777777773,0.7222222222222223,0.14285714285714285
anthropic-haiku45,Argentina,Uncle,male,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Argentina,Uncle,male,role,9.0,14.0,2.069202465820362,7.9185053202100715,0.9417346261113355,0.14285714285714285,0.8571428571428572,0.014657980456026058
anthropic-haiku45,Australia,Aunt,female,direct_marker,5.0,22.0,1.363564621644206,3.910106539750975,0.8472303349571046,0.3016528925619834,0.6983471074380165,0.14285714285714285
anthropic-haiku45,Australia,Aunt,female,domain,1.0,4.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Australia,Aunt,female,role,12.0,19.0,2.333196714286247,10.31084974662956,0.9389474306752342,0.11357340720221606,0.8864265927977839,0.019543973941368076
anthropic-haiku45,Australia,Aunt,female,trait,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.13333333333333333
anthropic-haiku45,Australia,Aunt,male,direct_marker,4.0,11.0,1.2406842919533958,3.4579789224902,0.8949645376549995,0.3223140495867768,0.6776859504132232,0.11428571428571428
anthropic-haiku45,Australia,Aunt,male,domain,3.0,3.0,1.0986122886681096,2.9999999999999996,0.9999999999999998,0.3333333333333333,0.6666666666666667,0.09090909090909091
