culture,person,protagonist_gender,group_size,avg_pairwise_similarity,diversity_score
Kenyan,Mother,male,5,0.5175641179084778,0.4824358820915222
Kenyan,Nanny,female,5,0.5249519944190979,0.4750480055809021
Kenyan,Nanny,male,4,0.5992743372917175,0.40072566270828247
Kenyan,Older Brother,female,5,0.47949665784835815,0.5205033421516418
Kenyan,Older Brother,male,4,0.46901604533195496,0.530983954668045
Kenyan,Older Sister,female,5,0.48679500818252563,0.5132049918174744
Kenyan,Older Sister,male,5,0.5054222345352173,0.4945777654647827
Kenyan,Uncle,female,5,0.5140413045883179,0.48595869541168213
Kenyan,Uncle,male,4,0.4839603900909424,0.5160396099090576
Persian,Aunt,female,5,0.5376598834991455,0.4623401165008545
Persian,Aunt,male,5,0.4771191477775574,0.5228808522224426
Persian,Father,female,4,0.5363686680793762,0.4636313319206238
Persian,Father,male,4,0.5513357520103455,0.44866424798965454
Persian,Grandfather,female,4,0.451452374458313,0.548547625541687
Persian,Grandfather,male,4,0.5188713669776917,0.48112863302230835
Persian,Grandmother,female,5,0.5070123672485352,0.49298763275146484
Persian,Grandmother,male,5,0.5356496572494507,0.4643503427505493
Persian,Mother,female,4,0.5669389367103577,0.43306106328964233
Persian,Mother,male,5,0.5353875160217285,0.4646124839782715
Persian,Nanny,female,5,0.5242937207221985,0.4757062792778015
Persian,Nanny,male,5,0.5187259912490845,0.4812740087509155
Persian,Older Brother,female,5,0.505436897277832,0.49456310272216797
Persian,Older Brother,male,4,0.42060360312461853,0.5793963968753815
Persian,Older Sister,female,5,0.5667660236358643,0.43323397636413574
Persian,Older Sister,male,5,0.4837825298309326,0.5162174701690674
Persian,Uncle,female,4,0.5193045735359192,0.4806954264640808
Persian,Uncle,male,3,0.4742048680782318,0.5257951319217682
Sri Lankan,Aunt,female,5,0.5776812434196472,0.4223187565803528
Sri Lankan,Aunt,male,4,0.4344971477985382,0.5655028522014618
Sri Lankan,Father,female,5,0.45621457695961,0.54378542304039
Sri Lankan,Father,male,5,0.46980780363082886,0.5301921963691711
Sri Lankan,Grandfather,female,4,0.44577351212501526,0.5542264878749847
Sri Lankan,Grandfather,male,4,0.4233236610889435,0.5766763389110565
Sri Lankan,Grandmother,female,3,0.4607222378253937,0.5392777621746063
Sri Lankan,Grandmother,male,5,0.49342450499534607,0.5065754950046539
Sri Lankan,Mother,female,5,0.4722134470939636,0.5277865529060364
Sri Lankan,Mother,male,5,0.520612895488739,0.479387104511261
Sri Lankan,Nanny,female,5,0.5074930191040039,0.4925069808959961
Sri Lankan,Nanny,male,5,0.4834510385990143,0.5165489614009857
Sri Lankan,Older Brother,female,5,0.5595373511314392,0.4404626488685608
Sri Lankan,Older Brother,male,5,0.48518285155296326,0.5148171484470367
Sri Lankan,Older Sister,female,4,0.5387471914291382,0.4612528085708618
Sri Lankan,Older Sister,male,5,0.46313410997390747,0.5368658900260925
Sri Lankan,Uncle,female,5,0.5102764964103699,0.4897235035896301
Sri Lankan,Uncle,male,5,0.5401204228401184,0.4598795771598816
