model,metric,gap_mean,gap_median,ci_low_2.5,ci_high_97.5,ci_low_5,ci_high_95
openai/gpt-oss-20b,female_markers_per_1000,42.16276730395833,42.188113099444294,38.388032263431285,45.83348796723774,38.84069011385491,45.284947211901724
qwen/qwen3-32b,female_markers_per_1000,40.9199412962328,40.900804104388946,39.15145880954214,42.846409414890815,39.40441353093953,42.494734186975855
llama-3.1-8b-instant,trait_bias_index,-0.3299359258755052,-0.329722222173887,-0.48058796289416056,-0.17646759257723763,-0.45187037030390437,-0.20309259255890966
llama-3.3-70b-versatile,trait_bias_index,-0.24079595236789936,-0.24034391533092905,-0.3613373015610723,-0.11590740740820456,-0.3439285714051715,-0.13808862433621866
openai/gpt-oss-120b,trait_bias_index,-0.05169870371683174,-0.052314814829934164,-0.13037962963380595,0.027597222202736818,-0.11838888888600362,0.017787037024568044
openai/gpt-oss-20b,trait_bias_index,-0.10390555554208425,-0.10703703702103384,-0.21633333330197155,0.010555555552825998,-0.19409259256963518,-0.012018518516031407
qwen/qwen3-32b,trait_bias_index,-0.2555057406530002,-0.25657407398921106,-0.36483333320573397,-0.137583333281878,-0.3513148146804746,-0.1582777776992849
llama-3.1-8b-instant,role_bias_index,-0.23371655349596113,-0.23448067363459654,-0.3490765391796827,-0.12263481040410462,-0.3250723103828391,-0.14122971780264024
llama-3.3-70b-versatile,role_bias_index,-0.20416026895761805,-0.20304232803581718,-0.31484986771477796,-0.10569235008990048,-0.3016889329724464,-0.11849845678672678
openai/gpt-oss-120b,role_bias_index,-0.04412866403141693,-0.04392857143550549,-0.11094113757358265,0.020351190459578075,-0.10133862434249008,0.01210383596700143
openai/gpt-oss-20b,role_bias_index,-0.1289192063420192,-0.1285714285626091,-0.22423346559254023,-0.03469940476465019,-0.2112037036841986,-0.047042328043579364
qwen/qwen3-32b,role_bias_index,-0.16132167541967413,-0.16075681807531683,-0.22951097707424903,-0.10007642264698541,-0.21582731111874726,-0.10608242385120627
llama-3.1-8b-instant,domain_bias_index,-0.08874291445522987,-0.08985890652054973,-0.18103361991460395,0.012373787474464873,-0.1657861551827602,-0.009778659610580446
llama-3.3-70b-versatile,domain_bias_index,-0.017708161365080185,-0.017579365070978792,-0.13817592590969852,0.10136243386283622,-0.11860978833689285,0.08214153439055479
openai/gpt-oss-120b,domain_bias_index,0.029101481483890895,0.02962962962424831,-0.042046296289163315,0.09704629629552071,-0.027601851844926244,0.08705555555790088
openai/gpt-oss-20b,domain_bias_index,-0.01834920635153984,-0.019047619051395792,-0.09405753968316902,0.06574074072818707,-0.08268518518771234,0.049219576710637356
qwen/qwen3-32b,domain_bias_index,-0.04915113996836278,-0.048985300251705055,-0.0899069935395952,-0.006519060500888514,-0.08382570497893761,-0.013936798431589513
llama-3.1-8b-instant,direct_gender_marker_index,-1.8623496718074393,-1.8628310936088013,-1.8969196270328506,-1.8221788588372976,-1.893007722669576,-1.8310489148224094
llama-3.3-70b-versatile,direct_gender_marker_index,-1.8578327478238021,-1.8585892347944164,-1.9087864372803809,-1.7970230964576068,-1.90055621071853,-1.8074733861355987
openai/gpt-oss-120b,direct_gender_marker_index,-1.5158099224476689,-1.5161894269145866,-1.5779286789459894,-1.448252535330134,-1.5697468334660793,-1.4620704605509494
openai/gpt-oss-20b,direct_gender_marker_index,-1.4539390070111213,-1.4552405451009331,-1.5219988785873135,-1.3871382808986135,-1.5103908418352043,-1.3952843780841198
qwen/qwen3-32b,direct_gender_marker_index,-1.6819875599707634,-1.6826416892815586,-1.7219483424498554,-1.641543542857399,-1.7165063648636194,-1.6493426565985447
llama-3.1-8b-instant,child_target_stereotype_score,2.1455555555555557,2.1444444444444444,1.9444444444444444,2.339027777777778,1.975,2.3111111111111113
llama-3.3-70b-versatile,child_target_stereotype_score,2.453083333333333,2.4555555555555553,2.2555555555555555,2.6334027777777775,2.2888888888888888,2.611111111111111
openai/gpt-oss-120b,child_target_stereotype_score,3.4074916666666666,3.408333333333333,3.2638888888888893,3.547222222222222,3.291666666666667,3.525
openai/gpt-oss-20b,child_target_stereotype_score,2.6682027777777777,2.6694444444444443,2.497152777777778,2.8278472222222217,2.522222222222222,2.811111111111111
qwen/qwen3-32b,child_target_stereotype_score,3.1835416666666667,3.1833333333333336,3.0415972222222223,3.313888888888889,3.063888888888889,3.297222222222222
