model,metric,gap_mean,gap_median,ci_low_2.5,ci_high_97.5,ci_low_5,ci_high_95
qwen/qwen3-32b,agentic_roles_similarity,-0.02883195906240079,-0.028855031852920834,-0.039175753989774305,-0.01846606827858423,-0.037866377861549456,-0.01992919774932996
llama-3.1-8b-instant,career_domain_similarity,-0.017977183710468105,-0.017827405777966814,-0.027884824692478608,-0.008813900497690258,-0.02619345151534718,-0.010403604714406866
llama-3.3-70b-versatile,career_domain_similarity,-0.021218348272393148,-0.021280052326619642,-0.03122319830788509,-0.011156079984373513,-0.029664314238147617,-0.013176253758784789
openai/gpt-oss-120b,career_domain_similarity,-0.01206875110489523,-0.011988033036080495,-0.019771023066973103,-0.00384494924950155,-0.018636768465965157,-0.005301309268818135
openai/gpt-oss-20b,career_domain_similarity,-0.01943735974084896,-0.01936122945820292,-0.02751001681653886,-0.011010478730701528,-0.026265750835753148,-0.012440535451492507
qwen/qwen3-32b,career_domain_similarity,-0.00437951256038828,-0.004517009013539387,-0.012539361438377652,0.003565898400653773,-0.010693084096743,0.0019140626510812178
llama-3.1-8b-instant,family_domain_similarity,0.019137249805447128,0.019347036836875803,0.0067531557500155595,0.0324026383795879,0.008582598098243268,0.029761482951127807
llama-3.3-70b-versatile,family_domain_similarity,0.019563220174424353,0.01952726662986809,0.006259980676695698,0.03369446477645804,0.008078787291629475,0.030631384923019308
openai/gpt-oss-120b,family_domain_similarity,-0.006258841571356687,-0.006188675399041846,-0.01596190575872443,0.0028171678492799512,-0.014555810616455146,0.0013094152023808915
openai/gpt-oss-20b,family_domain_similarity,0.008780288356232145,0.008996474722193337,-0.0014433078498890084,0.01850308979292296,-0.00015630047147472816,0.017174870649145715
qwen/qwen3-32b,family_domain_similarity,0.0018107387826674527,0.001897276855177349,-0.007544678213695704,0.010907150099260935,-0.006172517687082263,0.009708406486445045
llama-3.1-8b-instant,feminine_stereotype_similarity,0.10475967832060738,0.1049012432185312,0.09090942888313701,0.11871517529348945,0.09283022392748129,0.11628954116358522
llama-3.3-70b-versatile,feminine_stereotype_similarity,0.1274616461361448,0.12751394473016261,0.11085323006639049,0.14377127345340945,0.11322449997895295,0.1414961911448174
openai/gpt-oss-120b,feminine_stereotype_similarity,0.06860496022188002,0.06881542203740942,0.055886691311995196,0.08058058850881124,0.05773295579478144,0.07905805134524901
openai/gpt-oss-20b,feminine_stereotype_similarity,0.07756358008380565,0.07796432777411405,0.06396503679661285,0.09001889415602717,0.06594809833707083,0.08893394509951272
qwen/qwen3-32b,feminine_stereotype_similarity,0.10169288984495733,0.10157469655904505,0.09248673712627752,0.110851121565534,0.09396689297838343,0.10955633181250757
llama-3.1-8b-instant,masculine_stereotype_similarity,-0.08978936506737438,-0.08971909450160133,-0.10198726540897043,-0.07857260508876708,-0.09997667457287508,-0.08046326524784995
llama-3.3-70b-versatile,masculine_stereotype_similarity,-0.0997549870836238,-0.09972191374335025,-0.11248547970524266,-0.08680517624235819,-0.10999459139588806,-0.08938522562591567
openai/gpt-oss-120b,masculine_stereotype_similarity,-0.06978553332727816,-0.06977844942205896,-0.07937986776556094,-0.0607627817036377,-0.07739411717306616,-0.062226269116832156
openai/gpt-oss-20b,masculine_stereotype_similarity,-0.07711508880963341,-0.07708248818914096,-0.08717128062620759,-0.06788768254323967,-0.08551931749925845,-0.06906805415741271
qwen/qwen3-32b,masculine_stereotype_similarity,-0.0733112411059439,-0.07328369244933129,-0.08281422792416479,-0.06435544660728838,-0.08121413325270019,-0.06569141548126937
llama-3.1-8b-instant,trait_bias_index_semantic,-0.10857136490543545,-0.10840137130213578,-0.132315552303052,-0.08662608205623291,-0.12837319514914708,-0.09006764753096082
llama-3.3-70b-versatile,trait_bias_index_semantic,-0.11190341312315183,-0.1122388485943567,-0.13972243382848232,-0.0830253663927477,-0.13568998749757805,-0.08831290500107823
openai/gpt-oss-120b,trait_bias_index_semantic,-0.08959662181111529,-0.08972330308214421,-0.11195963360820434,-0.06621197285265218,-0.10845217744327067,-0.0693007235138384
openai/gpt-oss-20b,trait_bias_index_semantic,-0.10283591589765508,-0.10278807717288119,-0.1286700687413914,-0.07757601179606922,-0.1250964437226086,-0.08229978020735944
qwen/qwen3-32b,trait_bias_index_semantic,-0.09185522906509833,-0.09186362703428608,-0.1096291321066247,-0.07515375659997363,-0.10614591751576166,-0.07816233906034066
llama-3.1-8b-instant,role_bias_index_semantic,-0.11157377063892167,-0.1110572587898433,-0.14630402396708472,-0.07893329894794,-0.1404944643887586,-0.08386223099693232
llama-3.3-70b-versatile,role_bias_index_semantic,-0.13750333639882983,-0.13754920563002226,-0.17546537057624492,-0.09827227468464007,-0.16919077145764969,-0.1054795551180974
openai/gpt-oss-120b,role_bias_index_semantic,-0.10447631783599858,-0.10459256227313934,-0.15223490516203647,-0.053718312730810173,-0.14579809205763686,-0.06169765810095308
openai/gpt-oss-20b,role_bias_index_semantic,-0.1404155578055637,-0.13958704983399914,-0.17776482523946333,-0.10466835462783511,-0.17323459637793145,-0.10951014885209318
qwen/qwen3-32b,role_bias_index_semantic,-0.0916702716709361,-0.09119284661096376,-0.12105503585210084,-0.0628915754314288,-0.11621675884625561,-0.06822976228876455
llama-3.1-8b-instant,domain_bias_index_semantic,-0.11891064945329914,-0.11822144187725944,-0.170614685187311,-0.06893549549777614,-0.16308885826773345,-0.07422786681403844
llama-3.3-70b-versatile,domain_bias_index_semantic,-0.10283857341048748,-0.10258464905159492,-0.15167625261025106,-0.05641230476594523,-0.142224054545879,-0.06433755521613586
openai/gpt-oss-120b,domain_bias_index_semantic,-0.10207235765280587,-0.10032886940348046,-0.19503679307418592,-0.014816676799115516,-0.18253972098691992,-0.02959629488263856
openai/gpt-oss-20b,domain_bias_index_semantic,-0.12273180081931537,-0.1260892381422693,-0.20472503125544012,-0.028140616003104295,-0.19262964361378027,-0.04180818379780658
qwen/qwen3-32b,domain_bias_index_semantic,-0.030297493313367764,-0.029783901500205545,-0.0648634655866336,0.003087777075792607,-0.05806647091412341,-0.0015382343758714237
llama-3.1-8b-instant,stereotype_alignment_index_semantic,-0.38168355405508125,-0.38153540683469506,-0.4158700676768021,-0.34837086988672744,-0.41012052560322876,-0.35322204794509376
llama-3.3-70b-versatile,stereotype_alignment_index_semantic,-0.3425393989522006,-0.3421932621304964,-0.37790371202153816,-0.3045755525391776,-0.3735006624903017,-0.31071033128087955
openai/gpt-oss-120b,stereotype_alignment_index_semantic,-0.3865226476504422,-0.3868743811459555,-0.42995195316999246,-0.34145149443916917,-0.42238357796247833,-0.35054785764611995
openai/gpt-oss-20b,stereotype_alignment_index_semantic,-0.41295632457783327,-0.4129903718932423,-0.45345956096849604,-0.36979966745298165,-0.4479248025990337,-0.37617644132760936
qwen/qwen3-32b,stereotype_alignment_index_semantic,-0.34157962782630874,-0.3414771587929777,-0.36320198060062797,-0.32160491497350313,-0.3606991122322125,-0.3247781573398693
llama-3.1-8b-instant,trait_gender_bias_semantic,-0.060211051656429974,-0.06005139464719428,-0.07406560644507408,-0.04770239623159998,-0.0716187018983894,-0.04955188039069374
llama-3.3-70b-versatile,trait_gender_bias_semantic,-0.07755687089376151,-0.07766124001807637,-0.09586416296246979,-0.05926523246905869,-0.09316833317279816,-0.06211948997237617
openai/gpt-oss-120b,trait_gender_bias_semantic,-0.043058108702757295,-0.043051809527807766,-0.05420210127977448,-0.03247790244200991,-0.05174614352588025,-0.03421881666510469
openai/gpt-oss-20b,trait_gender_bias_semantic,-0.04452911794932766,-0.04444459154167109,-0.05579512716064023,-0.03351381958927959,-0.053626987941356175,-0.03525342216611737
qwen/qwen3-32b,trait_gender_bias_semantic,-0.04689780273023579,-0.04691833988245991,-0.055479423261971944,-0.038356523473436634,-0.05443077125483089,-0.03965432703701986
llama-3.1-8b-instant,role_gender_bias_semantic,-0.04711826122535599,-0.04689435756040944,-0.06431238828796065,-0.03130513887179809,-0.06106471824459732,-0.033887532326496314
llama-3.3-70b-versatile,role_gender_bias_semantic,-0.07938062797722718,-0.07948683665858375,-0.10223921001474891,-0.05619360872026947,-0.09850554370838734,-0.06058669707634382
openai/gpt-oss-120b,role_gender_bias_semantic,-0.027759673637317288,-0.02796991024838968,-0.03834914677595306,-0.016918349053658972,-0.036315562077539255,-0.01868253163967489
openai/gpt-oss-20b,role_gender_bias_semantic,-0.04102979550343006,-0.04100801835043563,-0.05379675143657046,-0.029353108348376632,-0.05214145110713112,-0.030680732733259605
qwen/qwen3-32b,role_gender_bias_semantic,-0.03498813267474373,-0.034988629072904585,-0.04781419940706757,-0.02263391208938426,-0.04591342029886113,-0.025073318303459224
llama-3.1-8b-instant,domain_gender_bias_semantic,-0.037114433515915236,-0.036959772867461035,-0.05244473350531835,-0.022221898015510923,-0.04975560221562367,-0.024312195489959176
llama-3.3-70b-versatile,domain_gender_bias_semantic,-0.0407815684468175,-0.040513576536128915,-0.05763250230242395,-0.023304566490049996,-0.05542019814459814,-0.026458066568399465
openai/gpt-oss-120b,domain_gender_bias_semantic,-0.005809909533538546,-0.005990979123291454,-0.017279974150652487,0.005858925528591488,-0.015677585854815945,0.0037113202698270003
openai/gpt-oss-20b,domain_gender_bias_semantic,-0.02821764809708111,-0.02822898535264863,-0.04149397947385701,-0.013697522925471677,-0.040064262038407225,-0.01621104263338365
qwen/qwen3-32b,domain_gender_bias_semantic,-0.006190251343055731,-0.0063379253519492,-0.01641000036253696,0.004279831949517954,-0.014673501646870528,0.0028911571416796794
llama-3.1-8b-instant,stereotype_gender_bias_semantic,-0.1945490433879818,-0.19447171273123887,-0.2112223058923458,-0.17847106651196049,-0.20862931252664163,-0.18090590971315074
llama-3.3-70b-versatile,stereotype_gender_bias_semantic,-0.2272166332197686,-0.22686285126126476,-0.24850049138896993,-0.205441198700832,-0.24528496399107905,-0.20851836242816515
openai/gpt-oss-120b,stereotype_gender_bias_semantic,-0.13839049354915817,-0.13850630716058532,-0.15270005935725445,-0.12372595034242193,-0.15024983009892617,-0.12648348635554107
openai/gpt-oss-20b,stereotype_gender_bias_semantic,-0.15467866889343906,-0.1548200350875656,-0.16959071565729877,-0.1382591429978816,-0.16703204821588266,-0.1419329545108808
qwen/qwen3-32b,stereotype_gender_bias_semantic,-0.17500413095090125,-0.17496299118631414,-0.1861691768363946,-0.16447756372599137,-0.1842002467231618,-0.16616616578979623
llama-3.1-8b-instant,child_target_stereotype_score_semantic,3.4122333333333335,3.411111111111111,3.1443055555555555,3.6834722222222225,3.1833333333333336,3.6444444444444444
llama-3.3-70b-versatile,child_target_stereotype_score_semantic,3.1045055555555554,3.111111111111111,2.7777777777777777,3.4444444444444446,2.8222222222222224,3.3833333333333333
openai/gpt-oss-120b,child_target_stereotype_score_semantic,3.6162055555555552,3.6222222222222222,3.322222222222222,3.916805555555556,3.361111111111111,3.8722222222222222
openai/gpt-oss-20b,child_target_stereotype_score_semantic,2.9387444444444446,2.936111111111111,2.6166666666666667,3.25,2.6722222222222225,3.1944444444444446
qwen/qwen3-32b,child_target_stereotype_score_semantic,3.3704777777777775,3.3722222222222222,3.133194444444444,3.5944444444444446,3.177777777777778,3.561111111111111
